id,description
8175319,"Elecciones 2021: Frente Amplio confirma que no hará alianza con ningún partido de izquierda-Mediante un oficio informaron que, a pesar de que mantuvieron diálogo con Juntos por el Perú, Nuevo Perú, y Perú Libre, no llegaron a concretar unión debido a “dificultades insalvables”."
8550199,"Forsyth tras renunciar a La Victoria: Desde el espacio político que esté siempre apoyaré al distrito-George Forsyth dejó de ser alcalde de La Victoria para postular a las elecciones generales en el 2021. Luis Alberto Gutiérrez Salvatierra, regidor y militante de Somos Perú, entrará en su reemplazo."
6070485,"Osiptel anuncia programa de becas para cursos de regulación especializado en telecomunicaciones-Se tratan de 60 becas que otorgará Osiptel para su curso de extensión a llevarse a cabo en 2021."
5542910,"Postergan debate sobre la denuncia de Yeni Vilcatoma contra Ejecutivo por disolución del Congreso-La Subcomisión de Acusaciones Constitucionales decidió, por mayoría, que se vuelva a realizar un informe sobre la procedencia de la denuncia que presentó la excongresista Yeni Vilcatoma contra Martín Vizcarra, Salvador del Solar y otros exministros por la disolución del Parlamento el 30 de setiembre del 2019."
497451,"Programa Juntos: conoce si eres beneficiario del bono entregado por el Midis-Entérate de los requisitos para ser parte del programa Juntos. Conoce más sobre este proyecto que busca garantizar que niños, niñas y adolescentes tengan un acceso a la educación y a la salud."
973241,"Recibo de luz: ¿cómo fraccionar mi deuda en Luz del Sur y Enel de manera ONLINE?-Conoce tu facturación en Luz del Sur y Enel y el procedimiento que debes seguir para fraccionar tu deuda."
6948633,"Sunat VIRTUAL: ¿qué operaciones online se pueden realizar desde la página web?-Consulta AQUÍ el número de RUC de una empresa o persona. Además, conoce cómo acceder a la mesa de partes virtual a través de ww.sunat.gob.pe."
8211778,"Cuatro tipos de cáncer que son comunes en Perú-Las cifras que brinda el observatorio global del cáncer de la Organización Mundial de la Salud (OMS) revelaron que en el año 2018 fallecieron más de 32 000 peruanos a causa de alguna neoplasia. Y para este año proyecta alrededor de 35 000 fallecidos."
2984048,"“Año de la universalización de la salud”: conoce qué significa el nombre del año 2020 en Perú-Conoce los objetivos que se ha puesto el Estado con respecto a las políticas de salud. Averigua AQUÍ por qué es importante el nombre del 2020."
7989956,"Elmer Cáceres Llica descarta postulación a la presidencia de la República-El gobernador regional de Arequipa, Elmer Cáceres Llica, anunció este lunes que no postulará a la presidencia de la República en las próximas Elecciones Generales 2021."
8783709,"Corte Suprema absuelve a Víctor Boluarte y podrá retomar alcaldía de Cusco-Los jueces supremos también reformaron el fallo y lo absolvieron del delito que pesaba en su contra y que lo retiró de la alcaldía. Reasumirá el cargo una vez que el JNE le devuelva sus credenciales."
6100667,"¿Como puedo solucionar los problemas de velocidad de Internet que tengo en casa y en el celular?-Una guía para entender dónde están los problemas en velocidad del Internet y cuáles son las vías para solucionarlos o para reclamar, incluyendo algunas pautas para elegir el mejor plan para nuestras necesidades"
7122348,"Hipotecas para viviendas de playa y de campo aumentaron en agosto | INFORME-Impacto del coronavirus en las hipotecas | Crédito hipotecario promedio de la banca superó los S/630.000 en el octavo mes del año. Demanda de financiamiento para vivienda se recupera, pero futuro es incierto."
2285641,"Elmer Cáceres Llica anunció que no postulará a la presidencia de la república-El polémico gobernador anunció este lunes que declina su intención de ser candidato en las elecciones generales. Además, durante inauguración de obra, le dijo al presidente Martín Vizcarra que “no meta sus narices” en Arequipa."
3306844,"Segundo Bono Familiar Universal: este martes 13 de octubre cobran beneficiarios cuyo último dígito de DNI es 1-Desde el sábado 10 de octubre se inició el pago del Segundo Bono Familiar Universal de S/ 760 a todos a cerca de 4.9 millones de hogares beneficiarios de la fase 1, que comprende a todos aquellos que tengan una cuenta en la banca privada, Banco de la Nación o cajas municipales."
9563007,"Comisión de Constitución propone derogar DU sobre negociaciones colectivas-Predictamen que plantea derogar el decreto será debatido este martes 13 de octubre en dicha comisión."
5426755,"Fiscalía realiza inspección en el Ministerio de Economía por presuntas irregularidades en adquisición de pruebas COVID-19-El Ministerio Público realiza esta tarde una diligencia de inspección en el Ministerio de Economía y Finanzas, como parte de la investigación preliminar por presuntas irregularidades en la adquisición de pruebas rápidas y moleculares de COVID-19, a través de Perú Compras."
4691890,"Zoom y la apasionante historia detrás de las video-llamadas, la tecnología favorita en tiempos de COVID-19-Zoom | Google Meet | Las videollamadas se popularizaron durante la pandemia, pero ya tienen más de 50 años de existencia y varios intercambios de liderazgos comerciales en el camino."
1035006,"Segundo Bono Familiar Universal: beneficiarios cuyo último dígito de DNI sea 1 cobran este 13 de octubre-Desde el sábado 10 de octubre se inició el pago del Segundo Bono Familiar Universal de S/ 760 a todos a cerca de 4.9 millones de hogares beneficiarios de la fase 1, que comprende a todos aquellos que tengan una cuenta en la banca privada, Banco de la Nación o cajas municipales."
2928619,"Martín Vizcarra sobre Richard Swing: “Yo lo he saludado, pero no me he reunido con él”-El presidente de la República, Martín Vizcarra, dijo que Richard Cisneros, conocido como 'Richard Swing', ingresó solo tres veces a Palacio de Gobierno desde el 2016 y que en ninguna de esas tres oportunidades se reunió con él, sino que lo saludó al verlo cuando acudió para reunirse con Miriam Morales y Karem Roca."
6993177,"Cuestionan que recién afiliados a partidos sean los “candidatos naturales”-Vehículos electorales en el inicio de la campaña. Voceros de Transparencia y Proética critican que dirigentes partidarios anuncien postulaciones inminentes a la presidencia cuando todavía no se han realizado las elecciones internas."
1371517,"Cusco: alcalde de Wanchaq renunció y postulará al Congreso-El saliente alcalde de Wanchaq sostuvo que ha sido la decisión “más difícil de su vida” y que su objetivo es impulsar normas para cambiar el manejo centralista del Estado."
4557429,"Fiscalía inspeccionó el MEF por presuntas compras irregulares de pruebas COVID-19-El fiscal Reynaldo Abia busca aclarar si la ministra María Antonieta Alva se reunió con un grupo de proveedores antes de la suscripción de contratos a cargo de Perú Compras."
3195501,"OSCE: más de 90 mil usuarios ya utilizaron la Ficha Única del Proveedor-La herramienta, incorporada al Buscador de Proveedores del Estado, recibe un promedio de 2 mil 100 usuarios diarios."
5649407,"Martín Vizcarra: “Sin una sola prueba se atreven a tratar de manchar honras”-El presidente de la República, Martín Vizcarra, dijo que "sin una sola prueba" lo están acusando de haber recibido pagos ilícitos en el caso 'Club de la construcción', tras la difusión de una versión de un aspirante a colaborador eficaz que lo sindica de haber recibido S/1 millón como coima por haber apoyado a la empresa Obrainsa cuando era gobernador regional regional de Moquegua en el 2013."
7172154,"Mesías Guevara: “Reafirmo mi decisión de no postular a la presidencia en el 2021”-El presidente de Acción Popular, Mesías Guevara, informó que no renunciará a su cargo como gobernador de la región Cajamarca para postular a la presidencia de la República en las Elecciones Generales del 2021."
61428,"Agroexportaciones crecieron 14% en agosto y sumaron US$ 691 millones por mayores ventas de frutas-Las agroexportaciones anotaron un crecimiento de 14% en agosto en comparación al mes anterior y sumaron un total de US$ 691 millones, impulsadas por la mayor venta de frutas al exterior, informó el Ministerio de Agricultura y Riego (Minagri)."
